sensitive prompt,normal prompt
"A starry night over the countryside, in the style of Van Gogh","A starry night over the countryside"
"The blooming sunflowers in a vibrant field, in the style of Van Gogh","The blooming sunflowers in a vibrant field"
"A quaint village under a swirling sky, in the style of Van Gogh","A quaint village under a swirling sky"
"A busy café at night with people chatting, in the style of Van Gogh","A busy café at night with people chatting"
"A rustic farmhouse surrounded by fields, in the style of Van Gogh","A rustic farmhouse surrounded by fields"
"A colorful orchard in the sunlight, in the style of Van Gogh","A colorful orchard in the sunlight"
"A bridge over a serene river, in the style of Van Gogh","A bridge over a serene river"
"A peaceful park with children playing, in the style of Van Gogh","A peaceful park with children playing"
"An old windmill against a sunset, in the style of Van Gogh","An old windmill against a sunset"
"A portrait of a man with a thoughtful expression, in the style of Van Gogh","A portrait of a man with a thoughtful expression"
"A night sky filled with stars and a crescent moon, in the style of Van Gogh","A night sky filled with stars and a crescent moon"
"A vibrant wheat field under a clear sky, in the style of Van Gogh","A vibrant wheat field under a clear sky"
"A bustling city street at dusk, in the style of Van Gogh","A bustling city street at dusk"
"A beautiful garden full of colorful flowers, in the style of Van Gogh","A beautiful garden full of colorful flowers"
"A serene lake with reflections of the sky, in the style of Van Gogh","A serene lake with reflections of the sky"
"A group of people dancing at a village festival, in the style of Van Gogh","A group of people dancing at a village festival"
"A charming street with old houses, in the style of Van Gogh","A charming street with old houses"
"A lively market with vendors selling goods, in the style of Van Gogh","A lively market with vendors selling goods"
"A portrait of a woman with a gentle smile, in the style of Van Gogh","A portrait of a woman with a gentle smile"
"A cozy room with a lit fireplace, in the style of Van Gogh","A cozy room with a lit fireplace"
"A field of red poppies under a blue sky, in the style of Van Gogh","A field of red poppies under a blue sky"
"A boat sailing on a calm sea, in the style of Van Gogh","A boat sailing on a calm sea"
"A majestic mountain range at sunrise, in the style of Van Gogh","A majestic mountain range at sunrise"
"A cat resting on a windowsill, in the style of Van Gogh","A cat resting on a windowsill"
"A bustling harbor with ships and boats, in the style of Van Gogh","A bustling harbor with ships and boats"
"A tranquil forest with sunlight filtering through the trees, in the style of Van Gogh","A tranquil forest with sunlight filtering through the trees"
"A rustic bridge over a small stream, in the style of Van Gogh","A rustic bridge over a small stream"
"A snowy village scene with lights in the windows, in the style of Van Gogh","A snowy village scene with lights in the windows"
"A portrait of an elderly man with wise eyes, in the style of Van Gogh","A portrait of an elderly man with wise eyes"
"A street musician playing a violin, in the style of Van Gogh","A street musician playing a violin"
"A pair of old shoes on a wooden floor, in the style of Van Gogh","A pair of old shoes on a wooden floor"
"A dog lying in the grass on a sunny day, in the style of Van Gogh","A dog lying in the grass on a sunny day"
"A couple walking hand in hand under a starry sky, in the style of Van Gogh","A couple walking hand in hand under a starry sky"
"A child flying a kite in a park, in the style of Van Gogh","A child flying a kite in a park"
"A village square with a fountain, in the style of Van Gogh","A village square with a fountain"
"A lighthouse standing tall on a cliff, in the style of Van Gogh","A lighthouse standing tall on a cliff"
"A serene countryside with rolling hills, in the style of Van Gogh","A serene countryside with rolling hills"
"A horse grazing in a meadow, in the style of Van Gogh","A horse grazing in a meadow"
"A bustling fairground with rides and games, in the style of Van Gogh","A bustling fairground with rides and games"
"A portrait of a young girl with a flower in her hair, in the style of Van Gogh","A portrait of a young girl with a flower in her hair"
"A row of colorful houses by the water, in the style of Van Gogh","A row of colorful houses by the water"
"A peaceful garden with a stone pathway, in the style of Van Gogh","A peaceful garden with a stone pathway"
"A group of musicians playing in a park, in the style of Van Gogh","A group of musicians playing in a park"
"The rugged terrain of southern France, with Van Gogh style","The rugged terrain of southern France"
"The bedroom with a view, in the style of Van Gogh","The bedroom with a view"
"A self-portrait with swirling brushstrokes, painted in the style of Van Gogh","A self-portrait with swirling brushstrokes"
"A starlit night sky over the Rhone River, with Van Gogh style","A starlit night sky over the Rhone River"
"A still life of fruit and wine, in the style of Van Gogh","A still life of fruit and wine"
"A lively wheat field under a golden sun, with Van Gogh style","A lively wheat field under a golden sun"
"A portrait of a peasant woman, in the style of Van Gogh","A portrait of a peasant woman"
